Sample	Type	IRF2BP2 Expression	TNF Expression
GSM376846	MDS	13961.2	180.266
GSM376848	MDS	20877	177
GSM376849	MDS	17257.8	88.2213
GSM376850	MDS	26061.1	187.831
GSM376851	MDS	18841.7	105.22
GSM376852	MDS	18872.3	327.348
GSM376853	MDS	30289.5	216.524
GSM376856	MDS	32824.7	431.917
GSM376857	MDS	23395.5	503.658
GSM376860	MDS	11654.3	120.343
GSM376861	MDS	20050.8	81.6446
GSM376862	MDS	18520.9	111.444
GSM376932	AML	20334.4	2677.21
